Fecha:  Del 16 al 26 de noviembre de 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papa Nacional  *;1 Kilogramos;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.52;1.54;1.54;1.54;1.54;1.54;0.97;1.22;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.50;1.54;1.54;1.54;1.54;1.43;1.54;1.52;1.48;1.48;1.32;1.32;1.54;1.43;1.54;1.54;1.43;1.54;1.54;1.54;1.43;1.54;1.54;1.48;1.07;1.49;1.54;1.54;1.76;1.32;1.54;1.54;1.54;1.54;;1.54;1.32;1.54;;1.54;1.32;1.54;1.54;;1.32;1.32;;1.54;1.10;1.54;1.43;1.32;1.54;;1.54;;;1.32;1.54;1.54;1.32;1.54;1.30;1.30;1.54
Pl†tano Verde ;1 Unidades;0.38;0.25;0.30;0.30;;;;;;0.22;;;0.27;0.27;0.22;0.22;0.25;;0.22;;;0.32;0.25;0.27;0.27;;;;;;;;;;;;0.22;0.25;0.22;0.22;0.25;0.22;0.22;0.22;;;0.22;0.27;0.22;0.22;0.22;0.50;0.35;0.45;0.50;0.40;0.35;0.40;0.50;0.25;0.40;0.25;0.25;;0.45;0.40;0.45;0.40;;0.35;0.35;;0.35;0.40;0.40;0.35;0.35;0.40;;0.40;0.20;;0.35;0.40;0.35;0.35;0.40;0.30;0.25;0.20
Repollo Verde ;1 Kilogramos;1.76;1.32;3.08;3.08;1.32;2.25;2.57;1.89;1.30;;2.10;1.89;1.52;1.52;1.87;2.21;1.55;1.89;1.52;1.32;1.89;1.32;1.55;1.89;1.89;1.59;2.35;;1.55;1.89;1.89;;2.33;1.50;1.57;2.85;2.89;1.32;1.52;1.87;1.63;2.50;2.89;2.89;1.32;1.89;1.89;1.89;2.33;2.51;1.67;2.76;2.20;2.76;2.76;1.76;2.20;;2.76;2.20;2.76;2.20;2.20;;2.20;1.87;2.20;2.65;;1.76;1.65;2.20;3.31;1.65;2.76;2.20;1.65;2.20;;;1.76;;;3.31;3.31;1.43;2.76;2.09;1.96;1.65
Tomate Nacional (Perita ¢ 3 x 3)  *;1 Kilogramos;2.60;2.39;2.71;2.71;2.71;2.19;2.49;2.71;2.27;;2.71;2.49;2.49;2.49;1.94;2.20;2.71;2.49;2.19;2.71;2.59;2.49;2.71;2.49;2.49;2.47;2.71;2.71;2.71;2.49;2.29;2.49;2.17;2.62;2.46;2.71;2.71;2.39;2.49;2.18;2.71;2.29;2.09;2.71;2.71;2.49;2.19;2.49;2.17;2.71;2.17;2.71;;2.71;2.71;2.76;2.71;;2.71;2.71;2.65;;2.20;;2.71;2.65;2.71;2.71;;2.20;2.20;;2.65;2.20;2.71;2.71;2.71;2.71;;;;;;2.71;2.76;2.20;2.71;2.09;1.96;2.20
Yuca   *;1 Kilogramos;;0.66;;;;;;;0.82;;;;;;0.56;0.56;0.66;;;0.66;;0.84;0.66;;;0.69;;0.66;0.66;;;;0.64;0.70;0.67;;;;;0.73;;;;;;;;;0.82;0.64;;;;0.62;;0.70;;;;;0.77;;;;;;;;;;;;0.77;;;;;;;;;;;;;0.84;0.62;0.64;0.64;0.83
Zanahoria ;1 Kilogramos;1.30;1.32;2.35;2.35;1.32;1.99;1.99;1.99;1.30;1.49;;1.99;1.99;1.99;2.46;;1.32;1.99;1.99;1.32;1.99;1.17;;1.99;1.99;1.69;1.49;1.32;1.32;1.99;1.99;1.99;1.30;1.73;1.59;2.55;2.65;1.32;1.99;1.74;1.32;1.85;1.99;2.55;1.32;1.85;1.99;1.99;1.55;1.47;1.55;;2.20;2.20;2.76;2.20;2.20;;2.20;2.20;2.76;2.20;1.87;;2.09;1.87;2.20;2.20;;2.20;1.65;2.20;3.31;1.65;2.20;2.20;1.65;2.20;;1.98;1.76;;;3.86;3.31;1.65;2.20;2.40;2.40;1.87
Frijoles Chiricanos ;1 Kilogramos;3.28;2.98;3.00;3.00;2.84;2.54;2.54;2.54;1.70;2.36;2.98;2.09;2.54;2.54;2.47;2.65;2.98;2.54;2.84;2.84;2.54;;3.06;2.54;2.49;2.18;;2.98;2.84;3.09;2.09;2.54;2.14;;2.14;2.31;;;;2.18;;2.54;2.98;2.36;;2.62;2.54;2.62;2.07;;2.93;;3.86;3.86;;;;;;;;;;;3.31;;;;;2.87;;;2.98;3.42;;;2.98;;;;;2.76;;3.31;3.42;;3.64;;3.06;3.20
Lentejas ;1 Kilogramos;1.61;1.65;2.25;1.61;1.52;1.61;1.61;1.61;1.65;1.65;1.43;1.52;1.39;1.39;1.17;1.17;1.54;1.39;1.30;1.52;1.30;1.61;1.52;1.39;1.39;1.28;1.43;1.52;1.52;1.52;1.61;1.61;1.17;1.39;1.26;1.43;1.43;1.52;1.52;1.43;1.52;1.52;1.43;1.43;1.52;1.61;1.61;1.61;1.26;1.48;1.26;1.87;1.98;2.20;2.76;2.20;1.54;;---;1.65;1.87;1.87;1.87;1.61;1.87;2.20;1.65;---;1.87;1.65;1.87;1.65;1.83;1.87;2.20;1.61;1.61;1.87;;1.65;1.65;1.65;1.87;1.87;1.65;1.87;1.43;1.74;1.39;1.87
Porotos Rojos ;1 Kilogramos;2.49;2.62;2.84;;3.15;2.12;2.18;2.54;2.07;2.16;2.84;2.43;2.43;2.43;1.98;;2.76;2.43;2.18;;2.16;2.12;2.14;2.43;2.43;2.36;2.76;2.62;2.62;2.16;2.12;2.12;2.05;2.12;1.83;2.16;2.76;;;2.40;2.62;2.16;2.16;2.09;2.14;2.54;2.43;2.18;2.12;2.03;2.09;---;2.76;2.76;3.31;2.98;;;2.76;2.76;2.76;2.98;2.54;2.20;2.98;2.76;2.54;2.76;2.65;2.76;2.76;2.20;2.76;2.76;2.98;2.54;2.76;2.76;;;;2.76;2.43;2.76;1.65;;2.98;;2.40;2.12
Guineos ;1 Kilogramos;1.01;;1.10;1.10;0.99;0.99;0.99;0.99;0.97;0.99;0.99;;0.99;0.99;;0.97;0.99;0.99;0.99;0.95;0.99;1.01;0.99;0.99;0.99;0.93;0.95;0.98;0.99;0.99;0.99;0.99;0.97;0.96;0.91;0.98;0.89;0.95;;0.97;0.99;0.99;0.94;0.96;0.95;0.99;;0.99;;0.93;0.94;1.21;1.10;1.10;1.32;1.10;1.10;;1.10;1.10;;1.10;;;1.10;1.10;1.10;;;;;;1.10;0.88;1.10;;1.10;1.10;;1.10;;;1.10;1.10;;;1.10;0.86;0.92;
Manzana Roja Mediana ;1 Unidades;;;0.45;0.50;;;;;;;;;;;;;;;;;;;;;;0.40;;;;;;;;;;;;;;0.35;0.36;;;;;;;;;;;0.50;0.50;0.50;;0.50;0.50;0.60;0.60;0.40;;0.50;0.50;;0.50;;0.50;0.50;0.50;0.50;;;0.50;0.50;0.60;0.50;0.50;0.50;;0.50;;;0.50;0.50;0.50;;0.50;;;
Naranja de Jugo ;1 Kilogramos;;;0.95;;;1.09;1.09;1.09;0.80;;0.95;1.09;1.09;;;;;;0.95;;1.09;;;;;;0.85;;;1.09;0.95;1.09;;0.95;0.77;0.95;0.95;;;0.97;;0.86;;0.95;;;;1.09;1.02;0.72;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pi§a ;1 Kilogramos;1.00;;;0.90;;1.05;1.05;1.05;;0.95;;;;;;;;;;;1.05;0.80;;1.05;1.05;0.95;0.78;;;;0.77;1.05;;;;0.95;0.95;;1.05;0.79;;;0.95;0.95;;;;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aceite Vegetal Nacional ;1,42 Litros;3.30;3.15;3.55;3.55;1.90;2.50;2.39;2.39;1.88;2.99;;;2.79;2.79;1.88;3.25;;2.39;2.79;1.90;2.39;;3.15;;;2.18;2.98;;2.65;3.15;2.39;2.39;1.88;1.88;1.88;2.99;3.29;3.00;2.79;1.99;2.65;2.39;2.75;2.75;3.00;2.79;2.79;2.79;1.97;3.18;;;;3.55;;;3.75;;2.95;3.20;;;;;;;3.50;;;;;;2.95;;3.25;3.25;;;;;;;;2.95;3.45;3.85;3.35;2.87;2.87;
Margarina en barra;1 Kilogramos;2.67;2.67;2.95;2.95;2.65;2.31;2.31;2.31;2.54;2.58;2.98;2.62;2.31;2.84;2.62;2.62;2.65;2.62;2.31;2.65;2.31;2.65;2.93;2.31;2.31;2.67;2.58;2.65;2.84;2.62;2.84;2.62;2.62;2.58;2.60;2.58;2.58;3.02;2.31;2.58;3.02;2.31;2.58;2.58;;2.31;2.31;2.31;2.27;2.54;2.27;5.73;3.97;3.86;4.85;5.29;4.41;;4.41;4.41;5.29;4.41;3.86;5.29;5.29;4.85;4.85;4.41;4.41;4.41;3.53;4.41;4.41;4.41;4.85;4.41;4.41;4.41;4.41;3.86;4.08;3.86;4.30;;;;;2.98;2.98;
Leche en Polvo entera instant†nea  *;360 Gramos;3.76;3.75;3.76;3.76;3.75;2.79;3.65;3.65;3.23;2.98;3.76;3.65;3.65;3.65;3.63;3.06;3.31;2.79;3.25;3.72;2.79;3.76;3.32;3.65;3.65;2.98;2.98;;3.72;2.79;2.10;2.79;3.23;2.96;2.96;2.98;3.45;3.75;3.25;2.98;3.31;3.25;3.45;3.45;3.72;3.25;3.25;;2.96;2.96;2.97;---;---;3.76;---;3.76;3.76;;3.76;3.76;;3.76;;;;3.76;3.76;;;3.75;;;3.76;3.76;3.76;3.75;3.75;3.76;;;;;3.76;3.76;3.75;3.76;3.75;3.76;3.57;3.76
Leche Evaporada ;167 Gramos;0.51;0.49;0.48;0.48;0.49;0.49;0.49;0.49;0.47;0.45;0.49;0.49;0.49;0.49;0.46;0.46;0.49;0.49;0.49;0.49;0.49;0.55;0.49;0.49;0.49;0.48;0.48;0.49;0.49;0.49;0.49;0.49;0.47;0.46;0.46;0.48;0.48;0.63;0.49;0.71;0.65;0.68;0.49;0.49;0.48;0.49;0.49;0.49;0.47;0.41;0.47;0.75;0.80;0.75;0.75;0.75;0.75;0.75;0.60;0.75;0.75;0.60;0.75;0.75;0.55;0.70;0.60;0.60;;0.60;0.70;0.75;0.75;0.70;0.60;0.60;;0.60;0.75;0.65;0.65;0.75;0.75;0.69;0.70;0.75;0.70;0.49;0.49;0.60
Leche Fresca y Pasteurizada ;946 Mililitros;;1.32;1.49;1.49;1.32;1.35;1.35;1.35;1.30;1.39;1.49;1.35;1.35;1.35;1.27;1.33;1.32;1.35;1.35;1.32;1.35;1.55;1.32;1.35;1.35;1.31;1.32;1.32;1.35;1.35;;1.35;1.33;1.31;1.27;1.35;1.27;1.34;1.35;1.33;1.45;1.35;1.35;1.35;1.29;1.35;1.35;1.35;1.33;1.30;1.33;1.65;1.75;1.55;1.75;1.50;1.50;;1.60;1.25;1.65;1.60;1.65;1.60;1.60;1.50;1.60;1.50;1.60;1.60;1.50;;1.55;1.40;1.50;1.50;1.55;1.60;;1.50;1.50;1.65;1.60;1.50;1.50;1.50;1.35;1.45;1.45;1.55
Queso Amarillo  *;1 Kilogramos;6.61;6.61;6.61;6.61;;6.21;6.21;6.21;6.19;6.21;6.60;6.21;6.21;6.21;6.19;6.19;6.61;6.21;6.61;6.61;6.21;6.61;6.61;6.61;6.61;6.61;6.60;6.61;;6.21;6.21;6.21;6.19;6.19;6.19;;6.60;6.61;6.21;6.61;6.61;6.61;6.60;6.60;6.61;6.61;6.61;6.21;6.19;;6.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Queso Blanco Prensado Bajo en Sal ;1 Kilogramos;14.87;;14.30;14.30;;11.49;11.49;10.99;11.36;;;12.59;11.49;11.49;10.25;10.25;;11.49;11.00;11.99;11.49;11.13;;;;10.93;11.49;12.46;14.49;14.49;11.49;11.49;10.86;10.90;10.90;;;11.79;10.57;13.96;14.51;;;9.89;11.79;14.99;14.99;9.95;14.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huevos Medianos de Gallina ;1 Docena;1.87;1.68;1.87;1.65;1.85;1.75;1.75;1.75;1.66;1.87;1.87;1.87;1.87;1.87;1.73;1.73;1.85;1.87;1.75;1.68;1.75;1.87;1.60;1.87;1.87;1.60;1.77;1.68;1.68;1.87;1.87;1.87;1.66;1.73;1.66;1.68;1.76;1.85;1.75;1.59;1.68;1.68;1.78;1.68;1.70;1.68;1.68;1.68;1.85;1.81;1.85;;3.00;;3.00;2.40;2.20;;2.40;2.40;2.40;2.40;1.80;1.68;1.92;2.40;1.80;2.40;2.40;;2.40;2.40;2.40;2.40;2.40;;;2.40;;1.92;;1.92;1.92;;2.00;;;1.49;1.79;
Az£car Morena ;1 Kilogramos;1.52;1.15;1.37;1.37;;;;;1.26;1.50;1.50;1.18;1.30;1.13;1.08;1.08;;;1.13;;;1.54;;;;1.13;1.50;1.18;;1.18;;;1.08;1.28;1.08;1.50;1.50;1.23;1.30;1.13;1.23;1.13;;;;;;;1.15;;1.15;;1.50;1.43;;1.75;1.63;;1.63;1.25;;1.63;1.50;1.75;1.75;1.63;1.63;;;1.63;;1.63;1.75;;1.50;1.63;1.35;1.75;1.63;1.36;;1.50;1.75;1.35;1.35;1.63;1.63;;;
CafÇ Molido Tradicional ;425 Gramos;5.45;5.30;3.94;3.94;4.75;2.81;4.75;2.81;2.80;4.75;4.89;4.75;4.75;4.75;2.79;5.23;5.40;3.45;3.45;5.00;3.45;;4.75;2.49;2.49;2.79;2.94;5.30;4.75;3.45;2.81;3.45;3.41;2.78;2.77;4.75;4.75;5.40;4.75;5.02;5.00;4.99;2.94;2.94;4.75;2.81;3.42;3.45;2.97;2.77;2.97;5.75;5.90;5.95;6.95;;5.25;;5.50;5.25;;5.50;5.50;;;;5.50;;;;;5.65;5.50;;5.75;5.25;5.00;;;;;4.95;;5.35;5.50;5.35;5.95;3.45;2.99;5.25
Jugo de Naranja ;946 Mililitros;;1.29;1.46;1.46;1.35;1.29;1.29;1.29;1.33;1.29;1.19;1.29;1.29;1.29;1.33;1.13;1.29;1.29;1.29;1.25;1.29;1.31;1.29;1.29;1.29;1.27;1.29;1.26;1.29;1.15;1.29;1.29;1.33;1.25;1.25;1.35;1.29;1.29;1.29;1.14;1.30;1.15;1.15;1.29;1.23;1.29;1.15;1.29;1.33;1.33;1.13;1.45;1.45;1.35;1.50;1.35;1.35;1.35;1.35;1.30;1.25;1.35;1.25;1.40;1.30;1.25;1.25;1.25;1.35;1.25;1.25;;1.35;1.25;1.35;1.35;1.25;1.35;;1.25;1.25;1.25;1.25;1.35;1.35;1.35;1.25;1.20;;
Mayonesa ;15 Onzas;2.48;2.45;2.55;2.55;2.65;2.45;2.45;2.45;2.44;2.49;1.98;2.49;2.49;2.49;2.44;2.44;2.45;1.99;2.49;2.45;2.45;;1.99;2.49;2.49;2.48;2.49;1.99;2.45;2.49;2.49;2.49;2.43;2.46;2.47;2.49;2.49;;2.49;2.48;2.45;2.49;2.49;2.49;2.49;;2.49;2.79;;2.37;;;2.70;3.25;;2.50;2.75;;2.75;2.55;;;2.65;;;2.85;;;;2.60;2.50;;3.00;2.85;;2.50;;2.75;2.60;2.75;2.65;2.50;;2.75;2.65;2.65;2.95;2.49;2.85;2.49
Pasta de Tomate ;113 Gramos;0.62;0.60;0.45;0.65;0.40;0.49;0.49;0.35;0.37;0.49;0.49;0.35;0.65;0.35;0.26;0.26;0.42;0.45;0.49;0.60;0.49;0.62;0.30;0.35;0.35;0.41;0.49;0.69;0.30;0.35;0.49;0.49;0.34;0.33;0.37;0.49;0.49;0.65;0.49;0.35;0.40;0.49;0.49;0.49;0.50;0.29;0.49;0.49;0.26;0.32;0.35;0.75;0.60;0.75;0.85;0.75;0.65;0.85;0.55;0.70;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.65;0.75;0.70;;0.75;0.75;0.75;0.75;0.65;0.75;0.75;0.75;0.70;0.75;0.75;0.85;0.50;0.55;0.75;0.55;;0.39;0.47
Sal  ;1 Kilogramos;0.62;0.55;0.60;0.66;0.55;0.55;0.55;0.55;0.51;0.51;0.60;0.55;0.64;0.55;0.55;0.46;0.55;0.55;0.64;0.55;0.55;0.60;0.55;0.51;0.51;0.49;0.55;0.55;0.55;0.55;0.64;0.55;0.51;0.44;0.44;0.55;0.55;0.66;0.55;0.49;0.55;0.55;0.57;0.60;;0.55;0.55;0.55;0.60;0.51;0.51;0.99;0.99;0.88;1.10;0.99;0.88;1.10;0.99;1.10;0.77;0.77;;0.99;0.88;0.77;0.88;;0.77;0.77;;0.77;0.99;0.88;0.77;0.77;0.77;0.88;0.77;0.77;0.77;0.77;1.10;0.77;0.88;0.99;0.77;0.66;0.69;0.55
Salsa de Tomate ;113 Gramos;0.50;0.50;0.65;;0.42;0.35;0.35;0.35;0.33;0.49;0.35;0.35;0.49;0.35;0.26;0.33;0.42;0.35;0.35;0.50;0.35;;;0.35;0.35;0.35;0.49;0.50;0.50;0.35;0.35;0.35;0.33;0.33;0.33;0.49;0.49;0.50;0.49;0.35;0.65;0.49;0.35;0.49;0.42;0.35;0.35;0.35;0.33;0.32;0.33;0.75;0.60;0.75;0.85;0.75;0.65;0.85;0.55;0.70;0.75;0.75;0.75;---;0.75;0.75;0.75;0.65;0.75;0.70;---;0.75;0.65;0.75;0.75;0.65;0.65;0.70;0.75;0.65;0.75;0.75;0.75;0.50;0.55;0.75;0.55;;0.65;0.47
Soda en envase pl†stico ;1 Litros;1.20;1.15;1.20;1.20;1.30;1.25;1.25;1.20;1.24;1.15;1.25;1.25;1.20;1.20;1.23;1.23;1.30;1.25;1.10;1.15;1.50;1.25;1.20;1.20;1.20;1.28;1.25;1.15;1.25;1.20;1.25;1.25;1.24;1.23;1.23;1.15;1.20;1.25;1.20;1.28;1.15;1.20;1.15;1.15;1.10;;1.15;1.05;;;1.05;;1.50;1.45;1.50;1.65;1.25;1.25;1.25;1.30;1.60;1.25;1.25;1.35;1.25;1.25;1.25;1.35;1.50;---;1.25;1.25;1.25;1.25;1.35;1.25;1.25;1.35;1.50;1.25;1.25;1.25;1.25;1.35;1.25;1.50;1.25;1.10;1.15;
Sopa Deshidratada (Pollo y Fideos) ;60 Gramos;0.40;0.45;0.49;0.63;0.50;0.62;0.42;0.42;0.40;0.49;0.40;0.42;0.42;0.42;0.38;0.37;0.45;0.42;0.42;0.65;0.42;0.45;0.50;0.42;0.42;0.40;0.40;0.65;0.45;0.42;0.42;0.42;0.41;0.38;0.38;0.40;0.49;0.65;0.42;0.40;0.60;0.44;0.40;0.40;0.55;0.44;0.42;0.42;0.38;0.48;0.48;;;0.65;0.85;0.75;0.65;0.75;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.75;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.60;0.60;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.39;0.45;0.59
Te Negro ;36 Gramos;0.90;0.95;0.92;0.92;0.95;0.95;0.95;0.95;0.94;0.93;;0.95;0.95;0.95;0.87;0.90;0.95;0.95;0.95;0.95;0.95;0.88;0.95;0.95;0.95;0.90;0.89;;0.95;0.95;0.95;0.95;0.93;0.89;0.87;0.93;0.93;0.95;0.95;0.90;;0.95;0.92;0.92;0.95;0.95;0.95;0.99;0.91;0.86;0.91;1.45;1.00;1.15;1.35;;1.25;;1.25;;;;;;;;1.25;;;;;;;;;1.25;1.25;;;;;1.00;;;;;1.25;0.89;0.90;
