Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MGTO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABT. LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABT. BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
•ame Diamante *,1 Kilogramos,0.00,0.00,0.88,0.88,0.88,0.85,0.00,0.85,0.83,0.79,0.79,0.85,0.85,0.85,0.00,0.69,0.88,0.85,0.00,0.88,0.85,0.00,0.88,0.85,0.85,0.77,0.88,0.88,0.88,0.85,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.85,0.75,0.88,0.84,0.75,0.79,0.75,0.88,0.85,0.85,0.85,0.73,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.88,0.00,0.88,0.00,0.00,0.00,0.88,0.00,0.88,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.88,0.88,0.77,0.84,0.88
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.50,1.54,1.54,1.54,1.54,1.54,1.19,1.19,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.54,1.44,1.54,1.52,1.52,1.54,1.43,1.54,1.50,1.50,1.42,1.54,1.54,1.54,1.52,1.74,1.54,1.53,1.54,1.54,1.52,1.54,1.54,1.54,1.50,1.28,1.50,1.54,1.54,1.54,1.32,1.54,1.54,1.54,1.54,1.54,1.54,1.32,1.54,0.00,0.00,1.32,1.54,1.54,0.00,1.32,1.32,0.00,1.54,1.54,1.54,1.54,1.54,1.54,0.00,0.00,1.32,0.00,1.32,1.54,1.54,1.32,1.54,1.32,1.54,1.54
Pl†tano Verde *,1 Unidades,0.00,0.25,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.27,0.27,0.25,0.27,0.28,0.25,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.27,0.23,0.25,0.27,0.21,0.00,0.22,0.25,0.27,0.27,0.27,0.22,0.00,0.22,0.50,0.25,0.40,0.35,0.40,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.00,0.00,0.45,0.35,0.40,0.00,0.35,0.35,0.35,0.40,0.35,0.35,0.35,0.35,0.35,0.00,0.35,0.25,0.00,0.35,0.35,0.40,0.35,0.40,0.00,0.25,0.20
Repollo Verde *,1 Kilogramos,2.17,1.78,3.08,3.08,1.78,2.19,2.19,2.19,1.76,2.35,2.19,2.19,2.19,2.19,2.47,2.47,1.78,2.19,2.19,1.78,2.19,2.17,1.43,2.19,2.19,1.89,2.35,1.78,1.78,2.19,2.19,2.19,1.76,1.73,1.73,2.35,2.35,2.49,1.90,1.76,2.87,2.90,2.19,2.35,1.78,2.65,2.19,2.85,2.83,2.77,1.73,2.20,2.20,2.09,2.76,1.76,2.20,0.00,2.76,2.20,2.20,2.20,2.20,0.00,0.00,1.76,2.20,2.20,0.00,1.98,0.00,2.76,2.65,1.65,3.31,2.20,1.65,2.20,0.00,1.65,2.09,0.00,0.00,2.76,2.76,1.43,2.76,1.96,1.96,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.71,2.71,2.71,2.71,2.71,2.59,2.59,2.59,2.57,2.67,2.67,2.59,2.59,2.59,2.51,2.51,2.71,2.59,2.59,2.88,2.59,2.71,2.69,0.00,2.59,2.65,2.71,2.69,2.69,2.59,2.59,2.59,2.57,2.63,2.57,2.67,2.67,2.59,2.65,2.69,2.60,2.65,2.55,2.55,2.69,2.71,2.59,2.71,2.57,2.27,2.57,2.71,0.00,2.71,2.71,2.65,2.71,0.00,2.71,2.71,2.20,2.71,2.20,0.00,0.00,2.71,2.71,2.71,0.00,2.20,0.00,0.00,2.20,0.00,2.71,2.71,2.20,2.71,0.00,0.00,0.00,0.00,2.20,2.71,2.71,2.20,2.65,1.30,1.50,1.65
Yuca *,1 Kilogramos,0.84,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.66,0.00,0.00,0.66,0.00,0.84,0.00,0.00,0.00,0.62,0.00,0.66,0.00,0.00,0.00,0.00,0.64,0.60,0.60,0.69,0.69,0.00,0.62,0.66,0.00,0.62,0.00,0.00,0.66,0.00,0.00,0.00,0.60,0.60,0.60,0.00,0.00,0.66,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.62,0.64,0.84,0.83
Zanahoria *,1 Kilogramos,1.82,1.67,0.00,2.45,1.67,1.59,1.59,1.89,1.57,1.65,1.65,1.59,1.59,1.65,2.25,1.63,1.67,1.59,1.59,1.87,1.59,1.67,1.67,0.00,1.89,1.23,1.65,1.67,1.67,1.59,1.59,1.59,1.57,1.21,1.08,1.65,1.65,1.59,1.23,1.68,1.59,1.38,0.00,1.65,1.67,1.65,1.59,1.89,1.36,0.00,1.36,2.76,2.20,2.09,2.76,2.20,2.20,0.00,2.20,0.00,2.20,2.20,1.65,0.00,0.00,1.76,2.20,2.20,0.00,1.76,0.00,0.00,2.65,1.65,2.76,2.20,1.65,2.20,0.00,0.00,2.09,0.00,2.20,2.76,3.31,1.65,2.20,1.52,1.52,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,3.06,3.00,3.00,2.98,2.54,2.54,2.62,2.14,2.40,2.40,3.09,2.84,2.54,2.14,2.14,2.98,0.00,2.84,0.00,0.00,2.89,3.06,2.84,2.54,2.18,0.00,2.98,2.98,2.84,2.62,2.54,2.31,2.07,2.23,2.84,2.36,3.09,2.18,2.98,2.84,2.18,2.84,2.36,2.98,2.54,2.54,2.62,2.76,2.71,2.07,0.00,0.00,3.86,0.00,0.00,3.31,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,0.00,0.00,3.09,0.00,0.00,3.31,3.20,3.20,0.00,0.00,0.00,0.00,0.00,0.00,2.76,0.00,0.00,0.00,0.00,0.00,3.20,2.98,3.20
Lentejas *,1 Kilogramos,0.00,1.50,1.79,1.79,1.43,1.30,1.43,1.43,1.39,1.30,1.30,1.30,1.30,1.30,1.48,1.28,1.43,1.30,1.43,1.50,0.00,1.74,1.50,1.43,1.43,1.43,1.30,1.43,1.32,1.30,1.30,1.30,1.48,1.39,1.26,1.30,1.30,1.54,1.43,1.43,1.43,1.43,1.30,1.30,1.43,1.96,1.43,1.54,1.26,1.01,1.26,1.87,1.87,2.20,2.76,2.20,1.87,2.09,1.87,1.87,1.87,1.87,1.87,0.00,1.87,2.76,1.65,2.20,1.76,1.65,1.87,2.20,1.87,1.87,1.87,1.65,1.61,1.87,0.00,1.65,1.65,1.65,1.87,1.87,1.87,1.87,1.61,1.74,1.43,1.87
Porotos Rojos *,1 Kilogramos,2.69,2.65,2.98,2.98,2.62,2.62,2.76,2.76,1.85,2.76,2.09,2.76,2.62,2.98,2.05,2.05,2.54,2.62,2.62,2.65,1.96,2.69,2.65,2.62,2.98,2.62,2.09,2.54,2.54,2.98,2.62,2.62,2.07,2.12,1.98,2.76,2.76,2.98,2.76,2.54,2.76,2.80,2.76,2.76,2.54,2.62,2.98,2.62,2.49,1.52,2.49,3.31,0.00,3.64,0.00,3.31,3.20,3.31,3.31,3.31,3.20,2.98,2.76,0.00,3.31,3.20,3.20,2.76,2.65,2.98,2.76,2.20,3.20,2.98,3.20,2.87,3.20,3.31,0.00,2.98,3.31,2.76,3.20,2.76,3.42,3.20,2.76,2.54,3.06,2.98
Guineos *,1 Kilogramos,1.01,0.99,1.15,1.15,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.82,0.82,0.99,0.99,0.99,0.99,0.99,0.00,0.95,0.99,0.99,0.94,0.95,0.99,0.95,0.99,0.99,0.99,0.93,0.97,0.91,0.98,0.98,0.00,0.99,0.95,0.99,0.94,0.96,0.96,0.95,1.05,0.99,0.99,0.00,0.00,0.92,1.21,0.00,1.21,1.32,1.10,1.10,0.00,0.00,1.10,0.00,0.99,1.10,0.00,0.00,1.10,1.10,0.00,0.00,0.00,0.00,0.00,1.10,1.10,1.10,1.10,1.10,1.10,0.00,1.10,0.00,0.00,1.10,1.10,1.10,0.00,0.99,0.77,0.00,0.95
Manzana Roja Mediana *,1 Unidades,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.30,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.50,0.00,0.60,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.00,0.50,0.50,0.50,0.60,0.00,0.60,0.00,0.50,0.50,0.00,0.50,0.50,0.50,0.00,0.50,0.00,0.00,0.50
Naranja de Jugo *,1 Kilogramos,0.00,0.00,0.95,0.95,0.00,0.00,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.83,0.94,0.00,0.00,0.00,0.90,0.00,0.85,0.81,0.82,0.84,0.84,0.00,0.84,0.95,0.88,0.00,0.84,0.84,0.00,0.90,0.00,0.00,0.81,0.81,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pi§a *,1 Kilogramos,0.00,0.00,0.90,0.90,0.00,0.89,1.05,1.05,0.00,0.99,0.99,1.05,1.05,1.05,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,1.05,0.95,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.99,0.99,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aceite Vegetal Nacional *,"1,42 Litros",3.80,2.50,4.00,4.00,2.75,2.55,2.59,2.55,2.53,2.65,2.65,2.55,2.55,2.55,2.53,2.53,3.60,3.75,3.75,2.75,0.00,3.05,3.75,3.75,2.55,3.39,2.65,2.75,2.35,2.55,2.50,2.55,2.53,2.53,2.53,3.49,3.49,3.50,0.00,2.55,0.00,4.01,3.69,3.69,3.60,3.75,3.75,3.75,2.53,1.94,2.53,0.00,0.00,4.95,0.00,0.00,3.95,0.00,0.00,3.90,3.35,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,3.95,0.00,3.85,3.35,4.29,3.65,4.45
Margarina en barra*,1 Kilogramos,2.93,3.20,3.37,3.37,3.37,3.06,3.06,3.06,3.09,3.20,3.28,3.06,3.06,3.06,3.33,3.33,3.20,3.06,3.06,2.93,3.06,2.93,3.28,3.06,3.06,2.98,3.20,3.28,2.93,3.06,3.06,3.06,2.89,2.93,2.93,3.20,3.20,3.06,2.93,2.93,3.06,2.98,3.28,3.20,2.93,3.06,3.06,3.06,2.93,2.84,2.87,4.41,3.97,3.86,4.85,5.29,5.29,0.00,4.41,4.41,5.29,4.30,4.41,0.00,4.41,4.41,0.00,4.41,4.41,4.41,3.53,5.73,4.41,4.41,4.41,5.73,4.41,4.41,4.41,4.41,4.08,3.75,4.74,0.00,0.00,0.00,0.00,3.09,3.06,3.20
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.55,3.76,3.76,3.31,3.55,3.65,3.25,3.26,3.25,2.95,2.25,3.25,2.25,2.93,2.93,3.55,3.25,3.25,3.32,3.55,3.76,3.55,3.25,3.55,2.98,2.95,3.31,3.31,3.25,3.25,3.25,3.23,2.96,2.30,2.95,2.95,3.25,2.98,3.31,3.25,2.98,2.95,2.95,3.31,0.00,3.25,3.55,2.96,2.90,2.96,0.00,0.00,3.76,0.00,3.75,3.76,0.00,3.76,3.76,0.00,3.76,3.75,0.00,3.76,3.76,3.76,0.00,0.00,3.76,0.00,0.00,3.75,3.76,3.76,3.76,3.75,3.76,0.00,0.00,0.00,0.00,0.00,3.76,3.75,3.76,3.75,3.25,3.35,3.76
Leche Evaporada *,167 Gramos,0.52,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.48,0.48,0.48,0.50,0.50,0.50,0.46,0.46,0.55,0.50,0.50,0.55,0.55,0.53,0.55,0.50,0.50,0.55,0.42,0.55,0.49,0.50,0.50,0.50,0.48,0.48,0.41,0.41,0.41,0.50,0.72,0.63,0.66,0.55,0.42,0.42,0.49,0.50,0.50,0.50,0.40,0.40,0.48,0.80,0.85,0.75,0.85,0.75,0.75,0.85,0.60,0.75,0.75,0.60,0.50,0.75,0.60,0.50,0.60,0.75,0.70,0.60,0.70,0.00,0.75,0.70,0.60,0.60,0.55,0.60,0.75,0.55,0.65,0.75,0.85,0.69,0.70,0.75,0.70,0.49,0.49,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,1.49,1.45,1.49,1.49,1.45,1.40,1.40,1.40,1.38,1.35,1.35,1.40,1.40,1.40,1.27,1.27,1.40,1.40,1.40,1.45,1.40,1.55,1.44,1.40,1.40,1.40,1.32,1.45,1.42,1.40,1.40,1.40,1.37,1.38,1.30,1.29,1.29,1.29,1.40,1.41,1.35,1.40,1.55,1.35,1.42,1.40,1.40,1.35,1.40,1.31,1.27,1.75,1.75,1.55,1.75,1.50,1.50,1.60,1.60,1.60,1.65,1.60,1.55,1.60,1.50,1.65,1.55,1.65,1.60,1.60,1.50,0.00,1.55,1.50,1.65,1.50,1.55,1.50,0.00,1.50,1.50,1.65,1.55,1.50,1.60,1.50,1.35,1.45,1.45,1.60
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.61,6.21,6.21,6.61,6.39,6.60,6.60,6.21,6.21,6.21,6.19,6.19,6.61,6.21,6.21,6.61,6.21,6.61,0.00,6.21,6.21,6.59,6.60,6.61,6.61,6.21,6.21,6.21,6.40,6.19,6.19,6.60,6.60,6.21,12.24,6.61,6.61,6.59,6.60,6.60,6.61,6.21,6.21,6.21,6.57,0.00,6.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.61,0.00
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,11.30,0.00,14.30,14.30,15.86,11.49,15.59,11.49,11.46,11.75,11.75,0.00,11.75,11.49,11.03,11.03,12.15,11.49,11.49,12.15,11.49,11.13,11.19,11.49,14.99,11.25,11.75,14.79,14.49,11.49,11.99,11.49,11.46,10.96,11.10,9.89,9.89,11.75,14.33,15.89,0.00,12.12,11.75,11.75,15.45,11.99,0.00,14.99,14.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.89,0.00
Huevos Medianos de Gallina *,1 Docena,1.74,1.68,1.68,1.68,1.75,1.87,1.85,1.85,1.71,1.87,1.87,1.85,1.85,1.79,1.71,1.71,1.75,1.85,1.85,1.85,1.59,1.74,1.75,1.85,1.75,1.60,1.85,1.75,1.75,1.85,1.85,1.85,1.71,1.71,1.67,1.87,1.87,1.87,1.60,1.65,1.79,1.60,1.85,1.87,1.80,1.85,1.87,1.85,1.78,1.66,1.78,0.00,3.00,0.00,3.00,1.92,2.40,2.40,2.40,2.40,2.40,2.00,2.40,0.00,0.00,0.00,0.00,2.40,2.40,0.00,2.40,1.92,2.40,1.92,0.00,1.92,2.40,1.92,0.00,0.00,2.00,0.00,2.40,1.95,0.00,0.00,0.00,1.87,1.85,0.00
Az£car Morena *,1 Kilogramos,1.65,1.18,1.37,1.37,1.23,1.13,1.13,1.13,1.43,1.23,1.63,1.13,1.13,1.13,1.08,1.08,1.18,1.13,1.13,1.50,1.13,1.35,1.50,1.30,1.13,1.08,1.13,1.23,1.23,1.13,1.13,1.13,1.04,1.28,1.17,1.13,1.13,1.13,1.15,1.15,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,1.15,1.17,1.88,1.88,1.76,0.00,1.75,1.88,1.88,1.88,1.88,1.54,1.63,1.65,1.50,1.63,1.88,1.88,1.88,1.54,1.75,1.63,1.63,1.75,1.63,1.88,1.63,1.37,1.88,1.63,1.63,1.43,1.50,0.00,1.63,1.75,1.63,1.63,0.00,0.00,0.00
CafÇ Molido Tradicional *,425 Gramos,5.71,4.75,3.67,3.67,4.75,2.81,4.75,4.75,2.80,2.94,2.94,2.81,3.45,4.75,2.79,2.79,4.75,3.45,3.45,4.75,4.75,5.01,4.75,4.75,3.45,2.79,2.94,4.75,4.75,3.45,3.45,3.45,3.43,2.77,2.89,4.75,4.75,4.75,2.79,4.45,3.45,2.79,4.75,4.75,4.75,2.81,3.45,2.80,2.77,2.77,2.77,5.75,5.90,5.95,6.95,0.00,5.25,0.00,5.50,2.95,5.35,5.50,0.00,0.00,0.00,0.00,5.50,0.00,5.60,0.00,0.00,0.00,0.00,0.00,5.75,5.25,5.00,0.00,0.00,0.00,0.00,4.95,5.75,5.35,5.50,5.35,5.95,2.99,2.99,5.25
Jugo de Naranja *,946 Mililitros,1.31,1.15,1.36,1.36,1.19,1.25,1.19,1.25,1.12,1.19,1.19,1.19,1.25,1.19,1.27,1.27,1.29,1.25,1.25,1.19,1.19,1.31,1.15,1.25,1.19,1.22,1.03,1.29,1.18,1.25,1.25,1.25,1.12,1.20,1.17,1.19,1.19,1.19,1.15,1.19,1.29,1.22,1.19,1.19,1.29,1.25,1.25,1.25,1.12,1.31,1.12,0.00,1.45,1.45,1.50,1.35,1.35,1.45,1.35,1.30,1.25,1.35,1.35,1.40,1.35,1.25,1.75,1.25,1.35,1.25,1.35,1.25,1.25,1.25,1.35,1.25,1.35,1.35,0.00,1.35,1.25,1.25,1.50,1.35,1.35,0.00,1.35,1.29,1.29,1.15
Mayonesa *,15 Onzas,2.48,2.45,2.85,2.85,2.45,2.49,2.49,2.49,2.46,2.43,2.46,2.49,2.49,2.49,2.42,2.42,2.45,2.49,2.49,2.45,2.49,2.48,2.45,2.49,2.49,2.49,0.00,2.45,2.45,2.49,2.49,2.49,2.43,2.47,2.45,2.37,2.37,2.49,2.49,2.45,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42,0.00,0.00,0.00,3.25,0.00,2.50,2.75,0.00,0.00,2.75,0.00,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.50,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,2.35,2.50,0.00,2.35,2.50,2.85,2.95,0.00,0.00,0.00
Pasta de Tomate *,113 Gramos,0.50,0.52,0.45,0.45,0.50,0.49,0.35,0.35,0.47,0.39,0.39,0.35,0.35,0.49,0.33,0.33,0.50,0.35,0.35,0.00,0.45,0.62,0.40,0.35,0.49,0.37,0.39,0.40,0.40,0.35,0.35,0.35,0.37,0.35,0.37,0.44,0.44,0.49,0.47,0.40,0.45,0.37,0.33,0.33,0.50,0.35,0.35,0.35,0.30,0.32,0.33,0.75,0.55,0.75,0.85,0.75,0.65,0.85,0.55,0.70,0.75,0.75,0.75,0.75,0.75,0.65,0.00,0.65,0.75,0.70,0.85,0.75,0.75,0.75,0.75,0.65,0.50,0.75,0.75,0.70,0.60,0.75,0.75,0.50,0.75,0.75,0.55,0.49,0.45,0.50
Sal  *,1 Kilogramos,0.60,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.51,0.62,0.60,0.55,0.55,0.55,0.46,0.46,0.55,0.55,0.64,0.55,0.55,0.60,0.55,0.55,0.55,0.49,0.64,0.60,0.60,0.64,0.64,0.55,0.51,0.44,0.44,0.49,0.49,0.64,0.49,0.55,0.55,0.55,0.53,0.53,0.55,0.64,0.64,0.55,0.44,0.44,0.51,0.99,0.88,0.99,1.10,0.99,0.88,1.10,0.99,0.00,0.77,0.88,0.88,0.99,0.88,0.77,0.00,0.77,0.77,0.77,0.77,0.00,0.99,0.88,0.88,0.77,0.77,0.88,0.66,0.77,0.77,0.77,1.10,0.77,0.88,0.99,0.88,0.77,0.55,0.77
Salsa de Tomate *,113 Gramos,0.50,0.50,0.65,0.65,0.47,0.35,0.35,0.35,0.33,0.33,0.33,0.35,0.35,0.35,0.33,0.33,0.47,0.35,0.35,0.50,0.45,0.50,0.70,0.35,0.25,0.44,0.33,0.49,0.49,0.35,0.35,0.59,0.34,0.42,0.33,0.42,0.42,0.49,0.44,0.44,0.35,0.37,0.33,0.33,0.44,0.35,0.35,0.35,0.30,0.32,0.33,0.75,0.55,0.75,0.85,0.75,0.65,0.00,0.55,0.60,0.75,0.75,0.75,0.70,0.75,0.65,0.00,0.65,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.50,0.70,0.75,0.70,0.75,0.65,0.75,0.50,0.55,0.75,0.55,0.49,0.45,0.50
Soda en envase pl†stico *,1 Litros,1.33,1.20,1.25,1.25,1.45,1.47,1.47,1.47,1.23,1.50,0.00,1.25,1.47,1.47,1.48,1.48,1.15,1.09,1.09,1.35,0.75,1.33,1.20,1.09,1.47,1.53,1.25,1.30,1.30,1.45,1.47,1.47,1.23,1.23,1.23,1.15,1.15,1.20,1.57,1.30,1.20,0.00,1.50,0.00,1.30,1.52,1.25,1.52,1.50,1.25,1.50,1.25,1.50,1.45,1.75,1.25,1.25,1.25,1.25,1.35,1.00,1.50,1.00,1.65,1.25,1.25,1.35,1.45,1.50,1.25,1.50,0.00,1.25,1.25,1.35,1.00,1.50,1.65,1.50,1.25,1.25,1.00,1.50,1.50,1.50,1.25,1.25,1.29,1.25,1.35
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.66,0.50,0.49,0.49,0.45,0.44,0.42,0.44,0.40,0.49,0.40,0.42,0.42,0.42,0.40,0.40,0.50,0.42,0.42,0.45,0.64,0.59,0.70,0.42,0.44,0.46,0.40,0.50,0.45,0.42,0.64,0.49,0.41,0.38,0.38,0.49,0.49,0.46,0.40,0.00,0.42,0.40,0.40,0.43,0.50,0.44,0.49,0.42,0.38,0.37,0.38,0.75,0.65,0.75,0.85,0.75,0.65,0.75,0.65,0.65,0.00,0.65,0.65,0.00,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.00,0.00,0.00,0.00,0.39,0.39,0.65
Te Negro *,36 Gramos,0.88,0.00,0.97,0.97,0.95,0.99,0.99,0.99,0.97,0.95,0.89,0.99,0.99,0.99,0.87,0.87,0.84,0.99,0.99,0.85,0.99,0.91,0.95,0.99,0.95,0.93,0.87,0.95,0.84,0.99,0.99,0.95,0.82,0.91,0.85,0.93,0.93,0.93,0.98,0.95,0.99,0.98,0.92,0.94,0.95,0.99,0.99,0.99,0.82,0.88,0.82,0.00,1.00,0.00,1.50,0.00,1.25,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.25,1.25,1.00,1.05,1.15
