Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.94,6.55,6.55,7.94,,6.55,,6.53,,,,,6.55,6.03,,,,,6.55,,,6.61,6.61,,,6.55,6.55,6.55,,,,6.53,6.53,6.53,6.42,,,,6.55,,6.54,6.55,6.55,6.55,,6.55,,6.52,6.40,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.50,6.54
Bistec de Cinta *,1 Kilogramos,5.62,,5.62,5.62,5.62,5.62,,5.62,5.60,5.61,5.62,5.62,5.62,5.62,4.81,5.02,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.48,5.49,5.62,5.62,5.62,5.62,5.62,5.27,5.16,5.17,5.60,,5.20,5.18,,,5.35,5.39,5.39,5.62,,5.62,5.62,5.37,5.07,5.37,,,,,,,,,,5.29,,,,,,,,,,,,5.51,,,5.62,5.62,,,,5.62,,,,,5.62,,4.96,5.49,5.62
Carne Molida de Primera *,1 Kilogramos,,,,,,4.74,4.74,4.74,,4.74,,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.74,,4.74,4.74,4.74,4.73,4.74,4.52,,,4.74,,,4.14,,,,4.74,4.73,,4.74,4.73,,4.74,,4.74,,4.74,,,,,,,,4.74,,,4.74,,4.41,,,,4.74,,4.74,,,,4.74,4.74,,,,,4.74,,,,,,,,,,,4.39,4.59,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,,,,,,4.45,,,4.43,4.85,4.85,3.99,4.45,4.45,4.43,3.84,6.28,,4.45,,4.45,,6.28,,4.45,4.83,4.85,,,4.45,4.45,4.45,4.83,4.43,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,,,,,,,,,,,,,,,,4.96,,,,3.86,,,,,,,,,
Puerco Liso *,1 Kilogramos,7.80,,,,,5.99,5.99,,5.97,5.65,5.95,5.99,5.99,,5.47,5.47,,5.99,5.99,5.51,5.99,7.80,5.51,5.99,5.99,5.62,5.95,6.83,6.83,,,,5.49,5.47,5.60,5.75,5.52,6.00,5.49,,5.99,5.84,,5.65,,,5.99,5.99,,,,,,,,7.17,,,7.72,,7.72,,,,7.72,,6.61,6.61,,,,7.50,7.17,6.06,7.72,7.17,6.28,,,,6.50,,,,7.17,7.17,,5.93,5.49,5.62
Pulpa Negra *,1 Kilogramos,7.95,8.05,13.87,,7.94,7.69,7.69,7.69,7.66,7.95,7.95,7.69,7.69,7.69,6.70,6.97,8.09,7.69,7.69,8.05,7.69,7.95,8.09,7.69,7.69,7.49,7.65,8.05,8.05,7.69,7.69,7.69,7.67,7.65,7.47,7.69,7.75,7.69,7.67,8.05,7.69,7.69,7.95,7.89,8.05,7.69,7.69,7.69,7.64,7.41,7.64,,,,,8.49,,,8.82,,8.82,,,,8.60,8.27,8.71,,,,,8.38,8.16,7.72,8.71,8.26,8.36,,,,8.27,8.05,,,,8.27,,6.94,7.25,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,4.81,4.38,,4.18,3.99,2.89,3.99,3.97,3.59,3.98,3.99,3.99,3.99,3.47,3.47,4.18,3.99,3.99,4.18,4.49,4.80,4.18,3.99,3.99,3.88,3.95,4.08,,3.99,3.99,3.99,3.95,3.27,3.27,3.59,2.85,2.89,3.29,4.19,3.99,3.29,3.59,3.59,4.18,3.99,3.99,3.99,3.55,3.85,3.99,,,,,,,,,,4.41,,,,,,,,,,,,,,,3.86,,,,,,,,4.41,,,,3.95,3.51,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,3.25,4.25,,4.55,2.99,2.99,2.99,2.97,2.98,2.54,2.99,2.99,2.99,2.96,2.96,3.09,2.99,2.99,4.55,3.28,3.68,3.09,2.99,2.99,2.84,2.85,,4.55,2.99,2.99,2.99,2.95,2.66,2.66,2.54,2.97,3.00,2.68,4.54,2.99,2.68,2.66,2.69,4.55,2.99,2.99,2.99,2.66,2.86,2.92,,,,,3.86,,,4.08,,4.41,,,,,,,,,,,2.76,4.08,,4.08,3.31,,,,,3.31,,,3.86,3.86,3.31,2.98,2.84,2.84,4.25
Pollo Entero s/plumas *,1 Kilogramos,3.17,2.60,2.85,2.85,2.55,2.60,2.60,2.60,2.51,2.59,2.59,2.60,2.60,2.60,1.97,2.38,2.53,2.60,2.60,2.53,2.60,3.17,2.53,2.60,2.60,2.48,2.59,2.55,2.59,2.60,2.60,2.60,2.48,2.57,2.46,2.49,2.59,2.60,2.59,2.54,2.60,2.37,2.39,2.39,2.53,2.60,2.60,2.60,2.46,2.12,2.38,,,,,2.60,,,2.60,,2.60,2.60,2.54,,2.60,2.60,2.60,2.60,,,2.60,2.60,2.60,2.20,2.60,2.60,2.54,,,,2.47,2.60,,2.43,2.60,2.60,2.43,2.09,2.16,1.96
Pescado Corvina *,1 Kilogramos,,,11.75,11.75,,,,,,,,,,,,,,,,,,,,,,6.69,,,,,,,,,,,,,,,,5.99,,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.69,0.64,0.64,0.54,0.39,0.39,0.39,0.49,0.55,0.55,0.39,0.39,0.39,0.49,0.53,0.54,0.39,0.39,0.75,0.39,0.70,0.69,0.39,0.39,0.45,0.55,0.54,0.54,0.39,0.39,0.39,0.40,0.48,0.58,0.55,0.70,0.52,0.45,0.65,0.60,,0.55,0.55,0.54,0.45,0.39,0.45,0.48,0.47,0.48,1.00,0.65,,0.85,0.85,0.65,1.00,0.60,0.85,,0.85,0.75,0.75,0.65,0.55,0.85,1.00,0.75,,0.85,0.75,0.85,0.85,0.85,0.75,0.85,0.85,1.00,0.55,0.86,0.50,0.75,0.60,0.80,0.60,0.65,0.55,,0.65
Tuna en Agua *,142 Gramos,,,1.70,1.70,1.65,1.25,1.25,1.25,1.03,1.45,1.27,1.25,1.25,1.25,1.23,1.23,1.05,0.99,1.15,,1.15,1.15,1.05,0.99,1.25,1.56,1.55,1.65,1.65,1.15,1.15,1.25,,1.14,1.14,,,,1.56,,1.25,,1.09,1.09,1.54,1.30,1.20,1.25,1.07,1.05,1.07,,1.70,,,1.65,1.65,1.65,1.65,1.25,,,,1.65,1.65,1.55,1.65,,,1.50,1.60,1.45,1.60,1.65,1.55,1.75,1.65,1.65,,,,,,1.50,,,1.65,1.15,,1.55
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,8.49,8.80,,8.20,6.50,5.49,5.49,5.49,7.87,9.06,9.06,5.49,7.25,5.49,7.01,7.01,,8.71,8.71,8.80,5.49,8.49,,8.71,5.49,8.53,9.06,8.80,6.61,8.71,5.49,5.49,7.01,7.01,7.01,,,8.71,8.53,10.34,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,5.71,,,5.71,4.96,8.49,4.96,8.82,8.82,8.82,8.49,8.49,4.96,8.82,8.82,5.71,8.49,8.49,5.71,4.96,,,8.49,4.96,8.51,,5.71,5.71,8.49,4.96,4.96,8.31,8.44,8.82,,,,8.51,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.41,4.30,7.85,7.72,3.28,7.61,7.61,7.61,3.42,3.42,3.42,7.61,3.42,3.42,3.42,3.42,3.20,3.42,3.42,3.42,3.42,,3.20,3.31,3.42,3.42,3.42,3.28,3.20,3.42,3.42,3.42,3.42,3.37,3.42,,2.65,,3.42,7.78,7.61,3.42,4.17,4.17,4.30,3.42,3.42,3.42,3.42,3.35,3.42,5.51,,5.40,,7.17,7.39,,7.72,,,,,,,,7.72,,,,,,,,,7.17,7.61,8.27,,,,,,7.72,7.61,7.72,7.61,3.42,3.64,
Arroz de Primera *,1 Kilogramos,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.84,0.87,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.85,0.85,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.88,0.86,0.88,0.88,0.88,0.86,0.86,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,0.88,,,,0.88,,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,
Codito *,454 Gramos,0.96,0.63,0.96,0.96,0.60,0.59,0.71,0.59,0.76,0.45,0.84,0.79,0.71,0.71,0.79,0.69,0.60,0.59,0.59,0.63,0.59,0.88,0.60,0.59,0.59,0.45,0.84,0.60,0.60,0.71,0.71,0.71,0.79,0.57,0.76,0.66,0.66,0.96,0.75,0.60,0.59,0.69,,0.45,0.60,0.71,0.79,0.79,0.69,0.75,0.77,1.00,0.95,0.95,1.00,1.00,0.95,0.95,0.95,0.90,0.85,0.85,0.75,,0.65,0.90,0.85,,0.85,0.85,0.85,1.00,,1.00,0.85,1.00,0.95,1.00,0.85,0.90,0.45,0.85,0.95,0.85,0.90,1.00,,0.79,0.69,0.95
Crema  de Ma°z *,300 Gramos,0.80,0.79,0.64,0.64,0.79,0.60,0.60,0.60,0.58,0.63,0.63,0.60,0.60,0.60,0.61,0.57,0.79,0.60,0.65,0.79,0.60,0.68,0.79,0.60,0.60,0.63,0.63,0.79,0.79,0.60,0.65,0.60,0.63,0.58,0.61,,,,0.63,0.79,0.60,0.63,0.63,0.63,0.79,0.55,0.65,0.65,0.61,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.70,,,,0.61,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,2.00,2.50,2.50,2.20,1.59,1.59,1.59,1.98,1.85,1.85,1.59,1.79,2.19,1.75,1.75,1.75,1.59,1.59,1.70,1.59,2.44,1.75,1.59,1.59,2.45,1.99,1.70,1.70,1.59,2.19,1.59,1.75,1.75,1.75,,,,3.15,2.85,3.09,,2.98,2.98,2.85,3.09,3.09,3.05,2.83,2.77,2.83,,,,,,2.50,,,,,,,,,,3.50,,,,,,,,,,,2.45,,,,,,,,,,,3.75,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.89,0.63,0.58,0.84,0.60,0.59,0.63,0.63,0.60,0.45,0.45,0.63,0.63,0.63,0.61,0.61,0.60,0.59,0.59,0.63,0.59,0.88,0.60,0.59,0.63,0.45,0.45,0.60,0.60,0.63,0.63,0.63,0.45,0.50,0.57,0.83,0.67,0.87,0.52,0.60,0.59,,,0.45,0.80,0.63,0.63,0.63,0.77,0.60,0.61,1.00,0.95,0.95,1.00,0.85,0.75,,0.95,0.90,0.85,0.85,0.75,0.85,0.65,0.85,0.85,,,0.85,0.85,0.85,0.95,,,0.85,0.85,0.80,0.90,0.75,0.50,0.65,0.90,0.85,0.90,0.85,0.85,,,
Pan de Michita *,1 Kilogramos,,,,,2.65,,,,,,,,,,3.00,,,,,2.75,,,,,,,,,2.75,,2.49,,,2.25,,,,,2.25,2.75,3.70,,,,,,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,,0.92,0.92,0.92,0.90,0.92,0.92,0.92,0.92,0.92,0.90,0.90,,0.92,0.92,,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.90,0.90,,,,,0.92,0.92,,0.92,,0.92,0.92,,0.92,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,0.92,,0.92,0.92,0.92
Tortilla de Ma°z *,10 Unidades,1.10,0.95,1.45,1.45,0.95,0.75,1.05,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.83,1.00,0.79,1.05,0.95,0.75,1.10,1.00,0.79,0.75,0.89,0.69,0.95,0.95,0.75,1.05,0.75,0.76,0.87,0.87,0.79,,,0.71,0.95,0.75,0.87,1.03,,0.95,,1.05,1.05,1.10,,0.77,1.15,1.00,1.25,,1.25,1.00,1.25,1.00,1.10,1.10,1.00,1.00,1.15,1.00,1.00,1.00,,0.85,1.00,,1.15,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,1.10,1.05,0.99,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,3.27,2.68,3.95,3.95,2.35,1.99,1.75,1.99,1.97,1.29,1.29,1.99,1.99,1.99,1.98,1.28,2.36,1.99,1.99,2.36,1.75,,2.36,1.99,1.99,1.68,1.69,2.60,2.36,1.99,2.29,1.99,1.68,1.57,1.46,,,,1.59,2.36,1.99,1.74,1.25,1.25,2.36,,1.99,1.99,2.75,1.67,1.72,2.76,,,,2.76,2.76,,2.76,,2.20,2.76,2.20,,3.31,,3.31,,,2.76,1.65,2.54,2.65,2.20,2.76,2.20,2.76,3.31,,,,,,3.86,3.31,2.20,,1.30,,1.65
Ajo *,1 Kilogramos,3.96,4.55,4.50,4.50,4.55,2.95,2.95,2.95,2.93,2.99,2.89,2.95,2.95,2.95,2.60,2.60,4.55,2.95,2.95,4.55,2.95,2.93,4.55,2.95,2.95,,3.25,4.55,4.55,2.95,2.95,2.95,2.93,2.93,3.47,,,,,4.54,2.95,2.85,2.79,2.79,4.55,,2.95,2.68,2.87,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.76,1.76,1.76,1.75,1.49,1.36,1.33,1.31,1.44,1.44,1.49,1.49,1.49,,1.10,1.75,1.50,1.50,1.76,1.33,1.61,1.75,1.50,1.49,1.40,1.44,1.75,,1.49,1.49,1.49,,1.47,1.38,1.43,1.43,,1.49,1.76,1.49,1.36,0.99,1.44,1.75,1.49,1.49,1.49,1.07,1.48,1.52,,2.20,1.76,1.76,1.76,,1.76,2.20,1.76,1.76,1.76,1.87,,1.76,1.76,2.20,1.76,,1.76,1.76,1.76,1.76,1.32,1.76,1.76,1.76,1.76,,,,,,1.76,2.20,1.76,1.76,1.36,1.28,
Lechuga *,1 Kilogramos,2.20,4.55,4.45,4.45,2.25,3.29,2.99,2.99,4.37,2.65,2.65,2.75,2.75,2.75,2.73,2.65,,2.99,2.99,2.48,3.29,,,2.99,2.99,2.65,2.65,,,2.75,2.95,2.75,2.46,2.65,2.65,,,,3.75,2.47,2.75,2.89,2.65,2.65,2.48,2.75,2.75,,2.92,2.84,2.73,4.41,,3.20,2.76,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,,3.31,,3.31,,,2.76,2.20,,3.31,2.20,3.31,3.31,2.76,4.41,,,2.76,,,5.51,4.41,3.20,,2.53,2.53,2.75
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.85,,0.85,0.83,0.85,0.75,0.85,0.85,0.85,0.73,0.73,0.88,,,0.88,0.85,,0.88,,,0.72,0.72,0.88,0.88,0.85,,,0.86,0.83,0.70,0.86,0.75,0.84,0.88,0.88,0.65,0.83,0.85,0.85,0.88,0.85,0.85,0.85,0.81,0.81,0.82,,,,,,,,,,0.88,1.10,0.88,,0.88,0.88,,,,,0.84,0.77,0.88,1.10,,0.88,,,,,,,,0.88,,0.88,0.88,0.80,0.77,0.88
